TC#,Section,Test Case,Steps,Expected Result,Status(PASS/FAIL/BLOCKED),mock data,Cross-Module Link,Settings need to set before entering to the module,Actual Result(What happened),Console Error(Copy-paste red text),Screenshot(Y/N),Notes,Journey Scenario,Why This Exists,Test Type,Role/Login,Supabase Verify,Playwright Spec,Defect ID
TC-P1G-004,1G Plan Gating,Upgrading a plan unlocks modules immediately,1) As super admin upgrade Hospital B to Professional 2) Refresh Hospital B's session 3) Open a previously blocked module,Now accessible.,,Hospital B upgrade,All,Platform access,,,,Realtime channel listens on hospital_module_entitlements,P1-Setup,A customer who pays for an upgrade and cannot use it for a day will ask for a refund.,Positive,super_admin then hospital_admin B,hospital_subscriptions,e2e/phase-01-foundation/P1G.plan-gating.spec.ts,
TC-P1G-005,1G Plan Gating,Downgrading a plan re-blocks modules,1) Downgrade Hospital B back to Starter 2) Refresh 3) Try the module again,Blocked again. Existing data is preserved not deleted.,,Hospital B downgrade,All,Platform access,,,,Data must survive a downgrade,P1-Setup,A downgrade that deletes data makes downgrading catastrophic and traps customers - or loses them permanently.,Negative,super_admin then hospital_admin B,hospital_subscriptions,e2e/phase-01-foundation/P1G.plan-gating.spec.ts,
TC-P1G-006,1G Plan Gating,Addon withhold hides a single AI feature,1) Withhold one AI feature key from Hospital A 2) Open the screen that uses it,That AI action is not rendered. Others still are.,,one AI feature key,AI Suite,Plan + AI settings,,,,AI features are actions of the pseudo-module ai_suite,P1-Setup,"AI features are priced individually. Withholding must be surgical, not all-or-nothing.",Negative,hospital_admin A,hospital_feature_overrides,e2e/phase-01-foundation/P1G.plan-gating.spec.ts,
TC-P1G-007,1G Plan Gating,AI master toggle hides all AI features,1) Turn off the AI Features master toggle 2) Check several AI-bearing screens,All AI actions hidden.,,AI master off,AI Suite,AI settings,,,,,P1-Setup,Some hospitals will not permit AI on clinical records at all. One switch must satisfy that.,Negative,hospital_admin A,hospitals AI flags,e2e/phase-01-foundation/P1G.plan-gating.spec.ts,
TC-P1G-008,1G Plan Gating,Expired subscription applies a write lock,1) Set Hospital B's subscription to expired 2) Try to create any record,Reads still work; writes are blocked with a clear renewal message.,,Hospital B expired,All,Platform access,,,,src/lib/subscriptionLock.ts,P1-Setup,Non-payment must stop new work without destroying access to existing records - a hospital still needs to read its own patient history.,Negative,hospital_admin B,hospital_subscriptions,e2e/phase-01-foundation/P1G.plan-gating.spec.ts,
TC-P1G-009,1G Plan Gating,Expired subscription still allows reads,1) With Hospital B expired open a patient record,Record is readable.,,Hospital B expired,All,Platform access,,,,,P1-Setup,Blocking read access to medical records over a billing dispute would be a patient-safety issue and probably unlawful.,Positive,hospital_admin B,None,e2e/phase-01-foundation/P1G.plan-gating.spec.ts,
TC-P1G-010,1G Plan Gating,Trial expiry behaves like expiry,1) Set Hospital B's trial to expired 2) Attempt a write,Same write lock as a paid expiry.,,Hospital B trial expired,All,Platform access,,,,,P1-Setup,An unlimited trial is a free product.,Negative,hospital_admin B,hospital_subscriptions,MANUAL-ONLY,
TC-P1G-011,1G Plan Gating,Blocked module shows an upgrade path not an error,1) Trigger any plan block 2) Read the message,Clear explanation and a route to upgrade. Not a stack trace or blank page.,,Hospital B,All,Plan set,,,,,P1-Setup,A gate is also a sales opportunity. A raw error is just a bad experience.,Positive,hospital_admin B,None,MANUAL-ONLY,
TC-P1G-012,1G Plan Gating,Entitlement fail-open is logged,1) If entitlement resolution fails check entitlement_fail_open_events,Any fail-open is recorded for review.,,None,All,Plan set,,,,Fail-open is safer than locking a hospital out but must be visible,P1-Setup,"Failing open keeps hospitals working during an outage, but an unlogged fail-open means customers silently get free features forever.",Negative,hospital_admin A,entitlement_fail_open_events,MANUAL-ONLY,
TC-P1H-001,1H Tenant Isolation,Hospital A cannot list Hospital B patients,1) As +qa.doctor.a open /patients 2) Search for PT-QA-0030 and 'Rohan Kulkarni',No result. Hospital B's patient is invisible.,,PT-QA-0030,Patients,Both hospitals seeded,,,,,P1-Setup,One hospital seeing another's patients is a reportable data breach that ends the company.,Negative,doctor A,patients WHERE hospital_id = B,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-002,1H Tenant Isolation,Hospital A cannot open a Hospital B patient by UUID,1) Get PT-QA-0030's UUID from the DB 2) As +qa.doctor.a paste /patients/<uuid>/summary,Blocked or not found. NOTE: no PHI must render even briefly.,,PT-QA-0030 UUID,Patients,Both hospitals seeded,,,,The classic IDOR test,P1-Setup,Guessing or leaking a record ID is the most common way multi-tenant systems leak data.,Negative,doctor A,None,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-003,1H Tenant Isolation,Direct API query returns no cross-tenant rows,1) In the browser console as +qa.doctor.a run a supabase select on patients with no filter 2) Inspect the rows,Only Hospital A rows return. RLS enforces this at the database.,,None,All,Both hospitals seeded,,,,"This is the real test - the UI filter is not the control, RLS is",P1-Setup,"Anyone can open DevTools and query directly. If RLS is not the boundary, the UI filter is decoration.",Negative,doctor A,patients,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-004,1H Tenant Isolation,Cross-tenant isolation on bills,1) As +qa.billing.a query bills directly with no filter,Only Hospital A bills.,,None,Billing,Both hospitals seeded,,,,,P1-Setup,Another hospital's revenue figures are commercially sensitive as well as confidential.,Negative,billing_executive A,bills,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-005,1H Tenant Isolation,Cross-tenant isolation on insurance_claims,1) As +qa.insurance.a query insurance_claims directly,Only Hospital A rows. NOTE: this query has NO hospital_id filter in the code and relies entirely on RLS.,,None,Insurance,Both hospitals seeded,,,,ClaimsStatus.tsx line 128 - highest-risk query in the app,P1-Setup,"This is one of two places found that fetch without a hospital filter. If RLS is ever misconfigured, this leaks first.",Negative,insurance_executive A,insurance_claims,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-006,1H Tenant Isolation,Cross-tenant isolation on denial_logs,1) As +qa.insurance.a query denial_logs directly,Only Hospital A rows.,,None,Insurance,Both hospitals seeded,,,,ClaimsStatus.tsx line 170 - same risk as above,P1-Setup,Second of the two unfiltered queries. Same exposure.,Negative,insurance_executive A,denial_logs,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-007,1H Tenant Isolation,Cross-tenant isolation on admissions and beds,1) As +qa.doctor.a query admissions and beds directly,Only Hospital A rows.,,None,IPD,Both hospitals seeded,,,,,P1-Setup,Bed occupancy is operationally sensitive and the admissions table carries diagnoses.,Negative,doctor A,admissions; beds,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-008,1H Tenant Isolation,Cross-tenant isolation on prescriptions and lab_orders,1) As +qa.doctor.a query prescriptions and lab_orders directly,Only Hospital A rows.,,None,OPD Lab,Both hospitals seeded,,,,,P1-Setup,Prescriptions and results are the most sensitive category of health data.,Negative,doctor A,prescriptions; lab_orders,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-009,1H Tenant Isolation,Cross-tenant isolation on users and staff,1) As +qa.admin.a query users directly,Only Hospital A staff.,,None,HR Settings,Both hospitals seeded,,,,,P1-Setup,Staff names and emails of another hospital are both a privacy issue and a competitive one.,Negative,hospital_admin A,users,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-010,1H Tenant Isolation,Cross-tenant write is rejected,1) As +qa.doctor.a attempt to insert a row with Hospital B's hospital_id,Rejected by RLS.,,Hospital B hospital_id,All,Both hospitals seeded,,,,,P1-Setup,Reading another tenant's data is bad. Writing into it is worse - it corrupts their records.,Negative,doctor A,any table - no row created,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-011,1H Tenant Isolation,Cross-tenant update is rejected,1) As +qa.doctor.a attempt to update a Hospital B patient row by UUID,Rejected. Row unchanged.,,PT-QA-0030 UUID,Patients,Both hospitals seeded,,,,,P1-Setup,An attacker who cannot read but can write can still destroy another hospital's records.,Negative,doctor A,patients - row unchanged,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-012,1H Tenant Isolation,Stale session context after a hospital move,1) Note the hms_ctx_* sessionStorage key as +qa.doctor.a 2) As super admin move that user to Hospital B 3) WITHOUT logging out refresh the page 4) Observe which hospital's data shows,"Must resolve to Hospital B or force a re-auth. NOTE: the cache is only cleared on sign-out, so this may show stale Hospital A data - if so, log P1.",,#NAME?,All,Both hospitals seeded,,,,HospitalContext caches in sessionStorage and revalidates in the background,P1-Setup,A user moved between hospitals who keeps the old tenant is actively looking at the wrong hospital's patients.,Negative,doctor A,users.hospital_id,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-013,1H Tenant Isolation,Service role key is not in the client bundle,1) Build the app 2) Search dist/ for the service role key and for 'service_role',Not present anywhere in the client bundle.,,None,All,Build produced,,,,npm run build then grep dist/,P1-Setup,"The service role key bypasses all RLS. If it ships to the browser, every tenant boundary in the product is gone.",Negative,None,None,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1H-014,1H Tenant Isolation,No PHI in console output,1) Log in and walk OPD IPD and Billing with the console open 2) Review every logged line,No patient name UHID phone or diagnosis appears in any console message.,,PT-QA-0001,All,Both hospitals seeded,,,,DPDP requirement - PHI must not appear in logs,P1-Setup,"Console logs get captured by browser extensions, error trackers and screen shares. PHI there is a breach.",Negative,doctor A,None,MANUAL-ONLY,
TC-P1H-015,1H Tenant Isolation,Error messages do not leak PHI,"1) Deliberately trigger errors (bad ID, blocked action) 2) Read every message",Messages are generic. No patient identifiers or SQL fragments.,,None,All,Both hospitals seeded,,,,,P1-Setup,Error messages are shown to users and logged to third-party services. Both are places PHI must never reach.,Negative,doctor A,None,MANUAL-ONLY,
TC-P1H-016,1H Tenant Isolation,Bill number sequences are per-hospital,1) Create a bill in Hospital A and one in Hospital B 2) Compare the numbers,Independent sequences. Neither continues the other's numbering.,,both hospitals,Billing,Both hospitals seeded,,,,bill_sequences is keyed per hospital,P1-Setup,Shared invoice numbering between two hospitals means duplicate invoice numbers under different GSTINs - a tax compliance failure.,Negative,billing_executive both,bill_sequences,e2e/phase-01-foundation/P1H.tenant-isolation.spec.ts,
TC-P1I-001,1I Go Live,Go-live checklist page loads,1) As +qa.admin.a open /admin/go-live,Loads with the checklist.,,None,All,Onboarding complete,,,,,P1-Setup,This is the hospital's own readiness gate before they start using the system for real patients.,Positive,hospital_admin A,None,e2e/phase-01-foundation/P1I.go-live.spec.ts,
TC-P1I-002,1I Go Live,Checklist reflects actual configuration state,1) With departments and wards configured but no drugs 2) Review the checklist,Completed items show complete; the drug item shows incomplete.,,partial config,All,Partial onboarding,,,,,P1-Setup,A checklist that does not check anything is theatre. It must read the real state.,Positive,hospital_admin A,various master tables,e2e/phase-01-foundation/P1I.go-live.spec.ts,
TC-P1I-003,1I Go Live,Checklist items link to the right settings screen,1) Click an incomplete item,Navigates to the screen that fixes it.,,None,Settings,Onboarding complete,,,,,P1-Setup,Telling someone what is missing without showing them where to fix it just creates a support call.,Positive,hospital_admin A,None,MANUAL-ONLY,
TC-P1I-004,1I Go Live,Non-admin cannot open go-live,1) As +qa.doctor.a navigate to /admin/go-live,Blocked.,,#NAME?,,Onboarding complete,,,,,P1-Setup,Declaring a hospital live is an administrative decision.,RBAC,doctor A,None,e2e/phase-01-foundation/P1I.go-live.spec.ts,
TC-P1I-005,1I Go Live,Critical prerequisites are flagged,1) Remove rate_per_day from a ward 2) Remove all consultation fees 3) Review the checklist,"These should be flagged. NOTE: if the checklist passes without them, log P1 - these are the two silent Rs 500 fallbacks.",,ward without rate; no fees,IPD Billing OPD,Onboarding complete,,,,The two most damaging silent failures in the product,P1-Setup,A hospital going live without consultation fees or room rates will under-bill every single patient and not know for months.,Negative,hospital_admin A,wards.rate_per_day; service_master,e2e/phase-01-foundation/P1I.go-live.spec.ts,
TC-P1I-006,1I Go Live,Data migration page loads,1) As +qa.admin.a open /admin/data-migration,Loads.,,None,All,Onboarding complete,,,,,P1-Setup,Every hospital switching from another system needs to bring its patient list with it. This is often the deal-breaker.,Positive,hospital_admin A,None,MANUAL-ONLY,
